Country Name,Country Code,Income Level,Year,PIB per capita (US$),Exportações (% PIB),Importações (% PIB),Abertura Comercial (% PIB),Crescimento PIB (%),Taxa Câmbio Efetiva Real,Exportações (US$),Importações (US$)
Argentina,ARG,Média Renda,2018.0,12292.224158704777,14.50969368341219,14.260687883600827,28.770381567013043,0.267635562192339,,77823258877.25316,77648491444.26459
Australia,AUS,Alta Renda,2018.0,58696.81337050992,22.375788465005336,21.12749360074231,43.503282065747634,2.4684176822914243,91.7959623890167,328790758063.25024,308075217890.56647
Bangladesh,BGD,Baixa Renda,2018.0,1893.7930744031632,14.138151070378564,20.141979566889937,34.28013063726852,6.435818064435851,,41594451446.05627,60203077260.47856
Brazil,BRA,Média Renda,2018.0,9602.093234743435,14.77827292437699,14.902233610744046,29.680506535121037,0.7962370012790224,69.8303041595155,287240358352.6471,291674375507.2039
Canada,CAN,Alta Renda,2018.0,48584.59284654536,31.772304537464493,33.07899693534345,64.85130147280796,1.927555358389786,84.7395959641271,576154174682.8496,597573683380.5978
China,CHN,Média Renda,2018.0,10018.475209441604,20.06090177037362,17.939922309553957,38.00082407992756,6.197341134675884,122.12598624416172,2779990770115.062,2481066219463.6646
"Egypt, Arab Rep.",EGY,Baixa Renda,2018.0,3237.0807204262705,14.696463955009165,22.728047294512553,37.42451124952173,4.188490921722687,,49843870755.59625,76443311446.78401
France,FRA,Alta Renda,2018.0,40793.29133610847,32.11574096292839,33.199722883973884,65.31546384690226,1.1283968357780907,94.02221906514364,881110205375.1211,911552250393.6875
Germany,DEU,Alta Renda,2018.0,47850.946053219915,42.355465236300546,36.65469930694997,79.0101645432505,1.0910609052805167,95.84395384906223,1676013143252.6672,1453965920032.8962
India,IND,Baixa Renda,2018.0,1932.7498057060445,20.866907359923427,23.43181024384081,44.29871760376423,6.171050244657805,,554456681142.1577,622913161886.2599
Indonesia,IDN,Baixa Renda,2018.0,3939.2879124512824,21.146799603033855,20.317928088599327,41.46472769163319,4.339116642090376,,225474278056.26346,214922427022.45773
Japan,JPN,Alta Renda,2018.0,38248.76474200388,17.918894768387037,18.84791824690649,36.766813015293515,0.6797414331222097,72.3768377636958,861394066837.0546,904365347599.7665
Kenya,KEN,Baixa Renda,2018.0,1764.7430733952729,13.058146596336774,22.836593925890835,35.894740522227615,4.575712566457933,,11302311861.323662,19858190741.667038
"Korea, Rep.",KOR,Alta Renda,2018.0,31251.2284432997,43.15211976453706,39.291458734451545,82.44357849898861,2.5453536075488654,139.3679315130761,690804933787.6958,630375491603.1816
Mexico,MEX,Média Renda,2018.0,10564.96010835292,37.01838118468294,38.43984091282179,75.45822209750473,1.4529664204102426,87.56684599934702,486703302084.1726,505871272956.1778
Nigeria,NGA,Baixa Renda,2018.0,2235.4524624598907,,,,2.447161953661192,117.64534340256883,,
Pakistan,PAK,Baixa Renda,2018.0,1401.2188686529719,9.786322648438444,18.3167832775689,28.103105926007377,3.84864593291005,105.17442220195744,31108898363.463673,58881598028.34021
Russian Federation,RUS,Média Renda,2018.0,12142.604847301136,27.14268137399738,19.932078143196808,47.07475951719418,1.2184773954383779,88.37125623182659,482343263453.7978,351896670679.8188
South Africa,ZAF,Média Renda,2018.0,6453.4588014255105,29.099487084677,28.140465578916302,57.2399526635933,0.9324050377133083,76.24007733105121,110704052696.90477,106958110335.385
Thailand,THA,Média Renda,2018.0,6600.689215223614,63.83398303522528,57.70619696865895,121.54018000388425,1.8960487113489577,,298363574382.3458,270387549063.36365
Turkiye,TUR,Média Renda,2018.0,10764.126294227744,29.302199678847572,31.348067968909366,60.650267647756934,5.282786406549935,,255065662927.6008,273985114330.9176
United Kingdom,GBR,Alta Renda,2018.0,44195.58667812808,30.37416805455598,31.589999097528366,61.96416715208434,1.6673206539538774,102.60224121442938,889895159722.9982,925556698980.0472
United States,USA,Alta Renda,2018.0,64300.24190805317,11.917561470742054,14.891743274187165,26.809304744929218,2.427869060743002,113.92526224717763,2492254909090.909,3125995727272.727
Viet Nam,VNM,Baixa Renda,2018.0,3231.5575175315053,81.17200716164385,77.44819593154782,158.62020309319175,6.039913019283548,,258602166648.37048,246202501376.304
